state,table_no,s_no,location,capacity_value,capacity_unit,technology,plant_type,sampled,note
Telangana,1,1,Boduppal,15,KLD,Geotube technology,FSTP,TRUE,
Telangana,1,2,Uppal,40,KLD,Combined biological treatment with solar sludge drying and decontamination,FSTP,TRUE,
Telangana,1,3,Khajaguda,7,MLD,Moving bed bioreactor (STP co-treatment),STP co-treatment,TRUE,
Telangana,1,4,Nanakramguda,4.5,MLD,Moving bed bioreactor (STP co-treatment),STP co-treatment,TRUE,
Telangana,1,5,Bhongir,15,KLD,Geotube technology,FSTP,TRUE,
Telangana,1,6,Shadnagar,25,KLD,Geotube technology,FSTP,TRUE,
Telangana,1,7,Siddipet,20,KLD,DEWATS,FSTP,TRUE,
Telangana,1,8,Sircilla,18,KLD,DEWATS,FSTP,TRUE,
Telangana,1,9,Nirmal,30,KLD,Moving bed bioreactor,FSTP,TRUE,
Telangana,1,10,Kamareddy,30,KLD,"Moving bed bioreactor, paddle drying and IR radiation of sludge",FSTP,TRUE,
Telangana,1,11,Warangal,15,KLD,"Packaged STP, sludge processing by pyrolysis",FSTP,TRUE,
Telangana,1,12,Nalgonda,75,KLD,Electrocoagulation,FSTP,TRUE,
Tamil Nadu,2,1,"Ukkadam, Coimbatore",70,MLD,SBR (STP co-treatment),STP co-treatment,TRUE,
Tamil Nadu,2,2,"PNP, Coimbatore",30,KLD,MBBR,FSTP,TRUE,
Tamil Nadu,2,3,Erode,50,MLD,MBBR (STP co-treatment),STP co-treatment,TRUE,
Tamil Nadu,2,4,"Thuraiyur, Tiruchirapalli",20,KLD,DWWT,FSTP,TRUE,
Tamil Nadu,2,5,Tiruchirapalli,58,MLD,Waste stabilization pond (STP co-treatment),STP co-treatment,TRUE,
Tamil Nadu,2,6,Madurai,125,MLD,SBR (STP co-treatment),STP co-treatment,TRUE,
Tamil Nadu,2,7,"Tirumangalam, Madurai",40,KLD,DWWT,FSTP,TRUE,Printed as row number -7 in the report
