file,name,type,unit,description
fstp-technology-tables.csv,state,character,,"Indian state the plant is in, taken from the title of the report table. One of eight values: Telangana, Tamil Nadu, Odisha, Rajasthan, Uttar Pradesh, Madhya Pradesh, Chhattisgarh, Uttarakhand."
fstp-technology-tables.csv,table_no,integer,,Number of the state-wise technology table in the report that the row was transcribed from. Values 1 to 8. Table 1 is Telangana and Table 8 is Uttarakhand.
fstp-technology-tables.csv,s_no,integer,,"Row number within that table, from the S No column of the report. Values 1 to 21. Tirumangalam is printed as -7 in the report and stored as 7."
fstp-technology-tables.csv,location,character,,"Plant location as printed in the FSTP location or STP location column of the report. Not unique: Jhansi appears twice, Jagjeetpur (Haridwar) three times and Sarai (Haridwar) twice. The note column tells these rows apart."
fstp-technology-tables.csv,capacity_value,numeric,"given in capacity_unit (KLD, MLD or KL/week)","Installed capacity as printed in the Capacity column, numeric part only. Read together with capacity_unit. Ranges from 3 to 100 for KLD rows, 3.5 to 345 for MLD rows, and is 9 for the one KL/week row."
fstp-technology-tables.csv,capacity_unit,character,,"Unit of capacity_value as printed. One of KLD (kilolitres per day), MLD (megalitres per day) or KL/week (kilolitres per week). KL/week is printed as KLW in the report and applies only to Patora in Chhattisgarh."
fstp-technology-tables.csv,technology,character,,"Treatment technology from the Technology column of the report, with abbreviations kept as printed (DEWATS, DWWT, MBBR, SBR, UASB, ASP). For co-treatment rows outside Table 8 the printed STP co-treatment label is kept in brackets."
fstp-technology-tables.csv,plant_type,character,,"Classification added during transcription. FSTP for a faecal sludge treatment plant, STP co-treatment for a sewage treatment plant that co-treats faecal sludge. A row is STP co-treatment when the report labels it STP co-treatment or when it comes from Table 8, which lists only sewage treatment plants. Puri is STP co-treatment even though its capacity is given in KLD."
fstp-technology-tables.csv,sampled,logical,,"TRUE when the report evaluated the plant with water samples. FALSE for the four Odisha rows marked ** in the report (Surada, Kashinagar, Hinjilicut, Talcher), where no water samples could be collected because there was no outlet water."
fstp-technology-tables.csv,note,character,,"Free text note added during transcription. Empty for most rows. Records printing quirks, how rows with the same location differ, the Puri co-treatment arrangement and the reason a plant was not sampled."
